"id","date","ph","ec_ms_cm","ppm","salt_percent","water_temp_c","delta_ph","delta_ec","delta_temp","trend_event"
38,"2025-05-30 10:20:19-04","6.20","1.509","753.0","0.07","18.9","0.08","0.027","-6.6","normal"
37,"2025-05-29 20:06:55-04","6.12","1.482","741.0","0.07","25.5","-0.03","0.050","0.2","normal"
36,"2025-05-29 16:08:23-04","6.15","1.432","717.0","0.07","25.3","0.00","-0.023","-0.1","normal"
35,"2025-05-29 12:35:53-04","6.15","1.455","727.0","0.07","25.4","0.01","0.013","2.8","normal"
34,"2025-05-29 10:55:52-04","6.14","1.442","716.0","0.07","22.6","-0.02","-0.003","-0.7","normal"
33,"2025-05-28 21:00:57-04","6.16","1.445","717.0","0.07","23.3","0.00","0.000","0.0","normal"
32,"2025-05-28 19:22:56-04","6.16","1.445","717.0","0.07","23.3","0.08","0.024","3.5","normal"
31,"2025-05-28 12:29:45-04","6.08","1.421","710.0","0.07","19.8","0.03","0.019","0.0","normal"
30,"2025-05-27 22:24:28-04","6.05","1.402","700.0","0.07","19.8","0.17","0.014","0.8","EC_stable_pH_change"
29,"2025-05-27 15:34:41-04","5.88","1.388","696.0","0.05","19.0","-0.52","0.477","0.3","pH_down_EC_up"
28,"2025-05-27 15:02:30-04","6.40","0.911","452.0","0.04","18.7","0.03","0.056","-2.3","normal"
27,"2025-05-26 20:15:58-04","6.37","0.855","426.0","0.04","21.0","0.04","-0.279","-0.7","normal"
26,"2025-05-26 20:14:55-04","6.33","1.134","565.0","0.04","21.7","0.01","0.052","-3.3","pH_stable_EC_change"
25,"2025-05-26 14:03:54-04","6.32","1.082","539.0","0.05","25.0","0.02","0.029","4.1","normal"
24,"2025-05-25 14:38:11-04","6.30","1.053","526.0","0.05","20.9","0.07","0.048","-3.1","normal"
23,"2025-05-24 13:37:41-04","6.23","1.005","502.0","0.05","24.0","-0.01","0.029","5.1","normal"
22,"2025-05-23 23:29:56-04","6.24","0.976","489.0","0.04","18.9","0.06","0.014","-2.3","EC_stable_pH_change"
21,"2025-05-23 18:04:47-04","6.18","0.962","481.0","0.04","21.2","0.05","0.009","-0.2","normal"
20,"2025-05-23 16:04:44-04","6.13","0.953","474.0","0.04","21.4","-0.15","0.005","0.0","EC_stable_pH_change"
19,"2025-05-23 15:59:22-04","6.28","0.948","473.0","0.04","21.4","-0.13","0.015","-0.1","EC_stable_pH_change"
18,"2025-05-23 14:44:45-04","6.41","0.933","466.0","0.04","21.5","-0.01","-0.011","-0.8","normal"
17,"2025-05-23 13:46:11-04","6.42","0.944","468.0","0.04","22.3","0.04","0.055","-1.0","normal"
16,"2025-05-23 12:57:58-04","6.38","0.889","449.0","0.04","23.3","0.06","0.019","0.4","EC_stable_pH_change"
15,"2025-05-22 22:53:35-04","6.32","0.870","434.0","0.04","22.9","0.01","0.003","0.5","normal"
14,"2025-05-22 22:51:35-04","6.31","0.867","434.0","0.04","22.4","0.04","-0.142","-0.4","normal"
13,"2025-05-22 22:21:18-04","6.27","1.009","504.0","0.05","22.8","0.16","0.026","1.6","normal"
12,"2025-05-22 22:15:52-04","6.11","0.983","492.0","0.04","21.2","0.00","0.000","0.0","normal"
11,"2025-05-22 22:06:05-04","6.11","0.983","492.0","0.04","21.2","0.00","0.000","0.0","normal"
8,"2025-05-22 21:51:56-04","6.11","0.983","492.0","0.04","21.2","0.00","0.000","0.0","normal"
10,"2025-05-22 21:51:56-04","6.11","0.983","492.0","0.04","21.2","0.00","0.000","0.0","normal"
9,"2025-05-22 21:51:56-04","6.11","0.983","492.0","0.04","21.2","0.00","0.000","0.0","normal"
5,"2025-05-22 00:00:00-04","6.11","0.983","492.0","0.04","21.2","-0.24","-0.338","-4.0","normal"
2,"2025-05-20 18:00:00-04","6.35","1.321","1321.0","0.06","25.2","-0.01","0.197","3.1","pH_stable_EC_change"
1,"2025-05-18 00:00:00-04","6.36","1.124","565.0","0.05","22.1",NULL,NULL,NULL,"first_entry"
